Classement,Titre,Artiste,Genre,Region
1,Lift Me Up (From Black Panther: Wakanda Forever - Music From And Inspired By),Rihanna,Pop,france
2,Calm Down,Rema,Musiques Du Monde,france
3,Des Milliers De Je T'Aime,Slimane,Variété Française,france
4,Rêvons (Version Radio),Les Enfoirés,Variété Française,france
5,Tout Savoir,Adé,Variété Française,france
6,The Loneliest,Måneskin,Rock,france
7,I'M Good (Blue),David Guetta & Bebe Rexha,Dance,france
8,As It Was,Harry Styles,Pop,france
9,Snap,Rosa Linn,Pop Indé,france
10,Un Jour Je Marierai Un Ange,Pierre De Maere,Variété Française,france
11,Despechá,Rosalía,Pop En Espagnol,france
12,Shining Light,Aime Simone,Pop,france
13,Te Amo (Dj Youcef Remix),Calema & Dj Youcef,Pop,france
14,"Come Back Home (From ""Purple Hearts"")",Sofia Carson,Bande Originale,france
15,"Bloody Mary (From ""Wednesday"") [Challenge Pitchline Remix]",Moonlight Heroes,Vocal,france
16,Another Love,Tom Odell,Auteur-Interprète,france
17,Ps : Je T'Aime,Christophe Willem,Variété Française,france
18,Creepin',"Metro Boomin, The Weeknd & 21 Savage",Hip-Hop/Rap,france
19,Bloody Mary,Lady Gaga,Pop,france
20,Et Bam,Mentissa,Variété Française,france
21,Don'T You Worry,"Black Eyed Peas, Shakira & David Guetta",Pop,france
22,La Recette,Slimane,Variété Française,france
23,Si J'Avais Su,Claudio Capéo,Variété Française,france
24,Kiss Me,Dermot Kennedy,Pop,france
25,Miss You,Oliver Tree & Robin Schulz,Pop,france
26,I Ain'T Worried,Onerepublic,Pop,france
27,Hold My Hand,Lady Gaga,Pop,france
28,Flamme,Juliette Armanet,Variété Française,france
29,Cuff It,Beyoncé,Pop,france
30,Eva,Kendji Girac,Variété Française,france
31,Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X,Pop,france
32,Secret,Louane,Variété Française,france
33,Rush,Ayra Starr,Musiques Du Monde,france
34,In The Stars (French Version),Benson Boone & Philippine Lavrey,Pop,france
35,Players,Coi Leray,Hip-Hop/Rap,france
36,La Goffa Lolita,La Petite Culotte,Pop,france
37,Sharks,Imagine Dragons,Alternative,france
38,Unholy,Sam Smith & Kim Petras,Pop,france
39,Creepin',"Metro Boomin, The Weeknd & 21 Savage",Hip-Hop/Rap,france
40,Fils De P,Simon Vendeme,Pop,france
41,The Loneliest,Måneskin,Rock,france
42,Celestial,Ed Sheeran,Pop,france
43,Carry Me,Tayc,Funk,france
44,Il Mio Rifugio,Richard Cocciante,Bande Originale,france
45,Le Dernier Jour Du Disco,Juliette Armanet,Variété Française,france
46,Experience,I Virtuosi Italiani & Daniel Hope,Inspiration Classique,france
47,Family Affair,Mary J. Blige,R&B/Soul,france
48,Abcdefu,Gayle,Pop,france
49,Do It To It (Feat. Cherish),Acraze,Dance,france
50,Coup De Vieux (Feat. Julien Doré),Bigflo & Oli,Hip-Hop/Rap,france
51,Nothing Else Matters,Scala & Kolacny Brothers,Pop,france
52,Call On Me (Feat. Ed Sheeran),Vianney,Variété Française,france
53,Doja,Central Cee,Hip-Hop/Rap,france
54,Cry To Me (Single Version),Solomon Burke,R&B/Soul,france
55,Million Dollar Baby,Ava Max,Pop,france
56,Calm Down,Rema & Selena Gomez,Pop,france
57,Encore Une Fois,Patrick Bruel,Variété Française,france
58,Mains En L'Air,Yanns,Hip-Hop/Rap,france
59,Symphony,Imagine Dragons,Alternative,france
60,Après-Vous Madame,Gims & Soolking,Hip-Hop/Rap,france
61,Nightshift,Bruce Springsteen,Rock,france
62,Let Go,Central Cee,Hip-Hop/Rap,france
63,Fetty Wap,Maes,Hip-Hop/Rap,france
64,Prière Pour Guérir,Barbara Pravi & Vianney,Variété Française,france
65,Loraine,Linton Kwesi Johnson,Pop,france
66,Ma Sœur,Clara Luciani,Variété Française,france
67,Mais Je T'Aime,Grand Corps Malade & Camille Lellouche,Variété Française,france
68,Call Me Maybe,Carly Rae Jepsen,Pop,france
69,Freed From Desire,Gala,Dance,france
70,Mon Cœur,Izia,Variété Française,france
71,Animaux Fragiles,Ycare & Zaz,Variété Française,france
72,Supermodel,Måneskin,Pop,france
73,Beautiful Strangers,Kevin Morby,Alternative,france
74,Bloody Mary,Trinix Remix,Dance,france
75,Goo Goo Muck,The Cramps,Rock,france
76,Je Suis Venu Vous Voir,Mano Solo,Variété Française,france
77,Cp_009_ ÉVidemment,Orelsan & Angèle,Hip-Hop/Rap,france
78,Autobahn,Sch,Hip-Hop/Rap,france
79,I Don'T Wanna Know (Feat. P. Diddy & Enya) [2016 Remastered],Mario Winans,R&B/Soul,france
80,I'M So Excited,Sound Of Legend,Dance,france
81,Panopticom (Bright Side Mix),Peter Gabriel,Rock,france
82,You Can’T Change Me (Feat. Raye),David Guetta & Morten,Dance,france
83,2 Be Loved (Am I Ready),Lizzo,Pop,france
84,Simply The Best,"Black Eyed Peas, Anitta & El Alfa",Pop,france
85,Tissues,Yungblud,Alternative,france
86,Lionheart (Fearless),Joel Corry & Tom Grennan,Dance,france
87,Escapism.,Raye & 070 Shake,Pop,france
88,In The Stars,Benson Boone,Pop,france
89,As It Was,Prep,Pop,france
90,Nothing Left To Lose,Everything But The Girl,Pop,france
91,Écoute,Dykah,Reggae,france
92,Jerusalema (Feat. Burna Boy & Nomcebo Zikode) [Remix],Master Kg,Dance,france
93,Let Her Go,Passenger,Pop,france
94,Sweat (Snoop Dogg Vs. David Guetta) [Remix],Snoop Dogg & David Guetta,Hip-Hop/Rap,france
95,Shallow,Lady Gaga & Bradley Cooper,Bande Originale,france
96,Nothing Else Matters,Metallica,Metal,france
97,Lose Yourself (Soundtrack Version),Eminem,Hip-Hop/Rap,france
98,Always Remember Us This Way,Lady Gaga,Bande Originale,france
99,Una Mattina,Ludovico Einaudi,Musique Classique,france
100,It'S Probably Me,Sting & Eric Clapton,Rock,france
